account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
PATUMAPH,220422.96,1608.96,18431.41,616.0,9,-91.3,38.29,23763662.540000007,0.28452828244123984
KHASHO,218341.02,0.0,0.0,0.0,8,0.0,0.0,23982003.560000006,0.28714253415023033
MOSTIM,214537.6,0.0,2194.69,0.0,8,-100.0,0.0,24196541.160000008,0.28971124655911584
KANWOO,211502.44,539.94,23296.68,42.0,7,-97.7,7.78,24408043.60000001,0.2922436182372626
WALBRIOP,210721.01,11508.820000000002,40746.36,2259.96,8,-71.8,19.64,24618764.61000001,0.2947666336583351
ARONIN,206697.41,1771.95,7080.38,50.0,7,-75.0,2.82,24825462.02000001,0.2972414735090256
AZIHAM,205360.85,0.0,0.0,0.0,9,0.0,0.0,25030822.870000012,0.29970031039213735
ALBMONWA,203366.53,0.0,4740.96,0.0,7,-100.0,0.0,25234189.400000013,0.30213526878247543
LOVJAM,202287.98,5720.02,20482.7,1501.99,8,-72.1,26.26,25436477.380000014,0.3045573134235751
KMADAN,200571.41,7565.31,32301.66,497.96,8,-76.6,6.58,25637048.790000014,0.30695880514220464
JURAND,193664.62,12350.49,31999.82,695.0,8,-61.4,5.63,25830713.410000015,0.30927760013457944
LATKIMPAL,187518.33,3289.0,32097.489999999998,0.0,8,-89.8,0.0,26018231.740000013,0.31152280405764227
RHICAT,186880.96,11691.4,36783.39,605.5,7,-68.2,5.18,26205112.700000014,0.31376037659008615
FORLAU,186834.66,0.0,27780.379999999997,0.0,7,-100.0,0.0,26391947.360000014,0.3159973947610357
KOLMARFF,184837.33,9297.4,31874.86,0.0,9,-70.8,0.0,26576784.690000013,0.31821049839972776
BERDANLAP,183630.81,10076.0,16607.81,279.96,8,-39.3,2.78,26760415.50000001,0.32040915607232545
MOLRYA,183030.61,0.0,0.0,0.0,8,0.0,0.0,26943446.11000001,0.32260062740002227
JOUCYN,181106.38999999998,3493.13,15798.19,0.0,7,-77.9,0.0,27124552.50000001,0.3247690595597996
KASNIK,179611.37,1626.72,13135.34,299.0,8,-87.6,18.38,27304163.870000012,0.32691959147073707
SINAMAOAK,179181.27,0.0,0.0,0.0,8,0.0,0.0,27483345.14000001,0.32906497368666965
POPDAN,178790.51,698.0,0.0,0.0,8,0.0,0.0,27662135.650000013,0.33120567723526895
